wl,n,k
0.4275,4.076,2.105
0.4261,4.079,2.102
0.4246,4.082,2.1
0.4232,4.086,2.098
0.4217,4.091,2.097
0.4203,4.096,2.097
0.4189,4.101,2.097
0.4175,4.107,2.097
0.4161,4.113,2.099
0.4147,4.119,2.101
0.4133,4.126,2.104
0.4119,4.133,2.107
0.4105,4.14,2.112
0.4092,4.147,2.117
0.4078,4.154,2.124
0.4065,4.161,2.131
0.4052,4.168,2.138
0.4039,4.175,2.147
0.4025,4.181,2.157
0.4012,4.187,2.167
0.3999,4.192,2.178
0.3987,4.197,2.19
0.3974,4.201,2.202
0.3961,4.205,2.215
0.3949,4.207,2.228
0.3936,4.209,2.242
0.3924,4.211,2.256
0.3911,4.211,2.269
0.3899,4.211,2.283
0.3887,4.21,2.297
0.3875,4.208,2.31
0.3862,4.206,2.323
0.385,4.204,2.336
0.3839,4.202,2.348
0.3827,4.199,2.36
0.3815,4.196,2.372
0.3803,4.194,2.384
0.3792,4.191,2.396
0.378,4.189,2.408
0.3769,4.187,2.421
0.3757,4.184,2.433
0.3746,4.181,2.446
0.3734,4.177,2.459
0.3723,4.173,2.473
0.3712,4.168,2.486
0.3701,4.163,2.499
0.369,4.157,2.511
0.3679,4.151,2.523
0.3668,4.144,2.535
0.3657,4.138,2.546
0.3647,4.131,2.557
0.3636,4.124,2.567
0.3625,4.117,2.577
0.3615,4.111,2.586
0.3604,4.104,2.595
0.3594,4.098,2.604
0.3583,4.092,2.612
0.3573,4.086,2.62
0.3563,4.081,2.628
0.3553,4.076,2.636
0.3542,4.071,2.644
0.3532,4.067,2.652
0.3522,4.063,2.659
0.3512,4.059,2.667
0.3502,4.056,2.675
0.3493,4.053,2.684
0.3483,4.05,2.692
0.3473,4.047,2.7
0.3463,4.045,2.709
0.3454,4.043,2.718
0.3444,4.041,2.727
0.3434,4.039,2.736
0.3425,4.037,2.746
0.3416,4.036,2.756
0.3406,4.034,2.766
0.3397,4.033,2.777
0.3388,4.031,2.787
0.3378,4.03,2.798
0.3369,4.029,2.81
0.336,4.028,2.821
0.3351,4.026,2.833
0.3342,4.025,2.845
0.3333,4.024,2.858
0.3324,4.023,2.871
0.3315,4.022,2.884
0.3306,4.02,2.897
0.3297,4.019,2.911
0.3289,4.018,2.925
0.328,4.016,2.939
0.3271,4.015,2.954
0.3263,4.013,2.969
0.3254,4.011,2.984
0.3246,4.01,2.999
0.3237,4.008,3.015
0.3229,4.006,3.031
0.322,4.004,3.048
0.3212,4.002,3.065
0.3204,3.999,3.082
0.3195,3.997,3.099
0.3187,3.994,3.117
0.3179,3.992,3.135
0.3171,3.989,3.153
0.3163,3.986,3.172
0.3155,3.983,3.191
0.3147,3.98,3.21
0.3139,3.977,3.229
0.3131,3.973,3.249
0.3123,3.97,3.27
0.3115,3.967,3.29
0.3107,3.963,3.311
0.31,3.96,3.333
0.3092,3.957,3.355
0.3084,3.953,3.377
0.3077,3.95,3.401
0.3069,3.947,3.425
0.3061,3.944,3.449
0.3054,3.941,3.475
0.3046,3.938,3.502
0.3039,3.935,3.53
0.3031,3.932,3.559
0.3024,3.929,3.59
0.3017,3.925,3.623
0.3009,3.921,3.658
0.3002,3.916,3.694
0.2995,3.91,3.733
0.2988,3.903,3.774
0.298,3.893,3.818
0.2973,3.882,3.863
0.2966,3.867,3.911
0.2959,3.85,3.961
0.2952,3.829,4.012
0.2945,3.805,4.064
0.2938,3.776,4.118
0.2931,3.742,4.172
0.2924,3.704,4.226
0.2917,3.661,4.279
0.291,3.613,4.331
0.2904,3.559,4.381
0.2897,3.501,4.429
0.289,3.439,4.473
0.2883,3.372,4.513
0.2877,3.302,4.549
0.287,3.228,4.58
0.2863,3.152,4.606
0.2857,3.073,4.626
0.285,2.993,4.64
0.2844,2.913,4.648
0.2837,2.833,4.651
0.2831,2.754,4.647
0.2824,2.676,4.638
0.2818,2.6,4.624
0.2811,2.527,4.604
0.2805,2.457,4.581
0.2799,2.391,4.554
0.2792,2.329,4.523
0.2786,2.27,4.489
0.278,2.216,4.454
0.2774,2.166,4.416
0.2768,2.12,4.378
0.2761,2.079,4.339
0.2755,2.041,4.3
0.2749,2.006,4.262
0.2743,1.975,4.224
0.2737,1.947,4.187
0.2731,1.921,4.151
0.2725,1.898,4.116
0.2719,1.876,4.082
0.2713,1.857,4.05
0.2707,1.839,4.019
0.2701,1.822,3.989
0.2695,1.806,3.961
0.2689,1.791,3.933
0.2684,1.776,3.907
0.2678,1.762,3.882
0.2672,1.749,3.857
0.2666,1.737,3.833
0.2661,1.724,3.81
0.2655,1.712,3.788
0.2649,1.701,3.766
0.2644,1.689,3.745
0.2638,1.678,3.724
0.2632,1.667,3.703
0.2627,1.657,3.683
0.2621,1.647,3.663
0.2616,1.637,3.644
0.261,1.627,3.625
0.2605,1.618,3.606
0.2599,1.609,3.587
0.2594,1.6,3.569
0.2588,1.592,3.551
0.2583,1.583,3.533
0.2578,1.575,3.516
0.2572,1.568,3.498
0.2567,1.56,3.481
0.2562,1.553,3.464
0.2556,1.546,3.448
