wl,n,k
12.398,15.567,52.539
12.35,15.468,52.375
12.302,15.37,52.211
12.254,15.273,52.048
12.206,15.176,51.884
12.158,15.08,51.721
12.111,14.984,51.558
12.063,14.888,51.396
12.016,14.794,51.234
11.969,14.699,51.072
11.922,14.605,50.91
11.876,14.512,50.749
11.829,14.419,50.587
11.783,14.327,50.426
11.737,14.235,50.266
11.691,14.143,50.106
11.645,14.052,49.946
11.6,13.962,49.786
11.555,13.872,49.626
11.509,13.782,49.467
11.464,13.693,49.308
11.42,13.605,49.15
11.375,13.517,48.991
11.331,13.429,48.833
11.286,13.342,48.675
11.242,13.255,48.518
11.198,13.169,48.361
11.154,13.083,48.204
11.111,12.998,48.047
11.067,12.913,47.891
11.024,12.829,47.735
10.981,12.745,47.579
10.938,12.662,47.424
10.895,12.579,47.269
10.853,12.496,47.114
10.81,12.414,46.96
10.768,12.333,46.805
10.726,12.252,46.652
10.684,12.171,46.498
10.642,12.091,46.345
10.601,12.011,46.192
10.559,11.932,46.039
10.518,11.853,45.887
10.477,11.775,45.735
10.436,11.697,45.583
10.395,11.619,45.431
10.355,11.542,45.28
10.314,11.466,45.13
10.274,11.39,44.979
10.234,11.314,44.829
10.194,11.239,44.679
10.154,11.164,44.529
10.114,11.089,44.38
10.075,11.015,44.231
10.035,10.942,44.083
9.9961,10.869,43.934
9.957,10.796,43.786
9.9181,10.724,43.639
9.8793,10.652,43.491
9.8407,10.58,43.344
9.8023,10.509,43.198
9.7639,10.439,43.051
9.7258,10.369,42.905
9.6878,10.299,42.759
9.6499,10.23,42.614
9.6122,10.161,42.469
9.5746,10.092,42.324
9.5372,10.024,42.18
9.4999,9.9563,42.035
9.4628,9.889,41.892
9.4258,9.8221,41.748
9.389,9.7556,41.605
9.3523,9.6895,41.462
9.3157,9.6238,41.32
9.2793,9.5585,41.178
9.2431,9.4936,41.036
9.2069,9.4291,40.894
9.171,9.365,40.753
9.1351,9.3013,40.612
9.0994,9.2379,40.472
9.0638,9.175,40.331
9.0284,9.1124,40.192
8.9931,9.0503,40.052
8.958,8.9885,39.913
8.923,8.9271,39.774
8.8881,8.866,39.635
8.8534,8.8054,39.497
8.8188,8.7451,39.359
8.7843,8.6852,39.222
8.75,8.6257,39.085
8.7158,8.5665,38.948
8.6817,8.5077,38.811
8.6478,8.4493,38.675
8.614,8.3912,38.539
8.5803,8.3335,38.404
8.5468,8.2762,38.268
8.5134,8.2192,38.133
8.4801,8.1626,37.999
8.447,8.1063,37.865
8.4139,8.0504,37.731
8.3811,7.9949,37.597
8.3483,7.9397,37.464
8.3157,7.8849,37.331
8.2832,7.8304,37.199
8.2508,7.7762,37.066
8.2186,7.7224,36.935
8.1864,7.669,36.803
8.1544,7.6159,36.672
8.1226,7.5631,36.541
8.0908,7.5107,36.411
8.0592,7.4586,36.28
8.0277,7.4068,36.151
7.9963,7.3554,36.021
7.9651,7.3043,35.892
7.934,7.2535,35.763
7.9029,7.2031,35.634
7.8721,7.153,35.506
7.8413,7.1032,35.379
7.8106,7.0538,35.251
7.7801,7.0047,35.124
7.7497,6.9558,34.997
7.7194,6.9074,34.871
7.6893,6.8592,34.744
7.6592,6.8113,34.619
7.6293,6.7638,34.493
7.5995,6.7166,34.368
7.5698,6.6697,34.243
7.5402,6.6231,34.119
7.5107,6.5768,33.995
7.4813,6.5308,33.871
7.4521,6.4851,33.747
7.423,6.4397,33.624
7.394,6.3946,33.501
7.3651,6.3498,33.379
7.3363,6.3054,33.257
7.3076,6.2612,33.135
7.2791,6.2173,33.014
7.2506,6.1737,32.892
7.2223,6.1304,32.772
7.194,6.0874,32.651
7.1659,6.0447,32.531
7.1379,6.0023,32.411
7.11,5.9601,32.292
7.0822,5.9182,32.173
7.0546,5.8767,32.054
7.027,5.8354,31.935
6.9995,5.7944,31.817
6.9722,5.7536,31.699
6.9449,5.7132,31.582
6.9178,5.673,31.465
6.8907,5.6331,31.348
6.8638,5.5934,31.232
6.837,5.5541,31.115
6.8103,5.515,31.0
6.7836,5.4762,30.884
6.7571,5.4376,30.769
6.7307,5.3993,30.654
6.7044,5.3613,30.54
6.6782,5.3235,30.425
6.6521,5.286,30.312
6.6261,5.2487,30.198
6.6002,5.2117,30.085
6.5744,5.175,29.972
6.5487,5.1385,29.859
6.5231,5.1023,29.747
6.4976,5.0663,29.635
6.4722,5.0306,29.524
6.4469,4.9951,29.412
6.4218,4.9599,29.302
6.3967,4.9249,29.191
6.3717,4.8902,29.081
6.3468,4.8557,28.971
6.3219,4.8214,28.861
6.2972,4.7874,28.752
6.2726,4.7537,28.643
6.2481,4.7201,28.534
6.2237,4.6868,28.426
6.1994,4.6538,28.318
6.1751,4.621,28.21
6.151,4.5884,28.103
6.127,4.556,27.995
6.103,4.5239,27.889
6.0792,4.492,27.782
6.0554,4.4603,27.676
6.0317,4.4288,27.57
6.0082,4.3976,27.465
5.9847,4.3666,27.36
5.9613,4.3358,27.255
5.938,4.3053,27.15
5.9148,4.2749,27.046
5.8917,4.2448,26.942
5.8686,4.2149,26.838
5.8457,4.1852,26.735
5.8229,4.1557,26.632
5.8001,4.1265,26.529
5.7774,4.0974,26.427
5.7549,4.0686,26.325
5.7324,4.0399,26.223
5.71,4.0115,26.122
5.6876,3.9833,26.02
5.6654,3.9553,25.92
5.6433,3.9275,25.819
5.6212,3.8999,25.719
5.5993,3.8725,25.619
5.5774,3.8453,25.519
5.5556,3.8183,25.42
5.5339,3.7914,25.321
5.5122,3.7648,25.222
5.4907,3.7384,25.124
5.4692,3.7122,25.026
5.4479,3.6862,24.928
5.4266,3.6603,24.83
5.4054,3.6347,24.733
5.3842,3.6093,24.636
5.3632,3.584,24.539
5.3422,3.5589,24.443
5.3213,3.534,24.347
5.3005,3.5093,24.251
5.2798,3.4848,24.156
5.2592,3.4605,24.061
5.2386,3.4363,23.966
5.2182,3.4123,23.871
5.1978,3.3885,23.777
5.1775,3.3649,23.683
5.1572,3.3415,23.589
5.1371,3.3182,23.496
5.117,3.2951,23.403
5.097,3.2722,23.31
5.0771,3.2495,23.217
5.0572,3.2269,23.125
5.0375,3.2045,23.033
5.0178,3.1823,22.941
4.9982,3.1603,22.85
4.9786,3.1384,22.759
4.9592,3.1167,22.668
4.9398,3.0951,22.577
4.9205,3.0737,22.487
4.9013,3.0525,22.397
4.8821,3.0314,22.307
4.863,3.0105,22.218
4.844,2.9898,22.129
4.8251,2.9692,22.04
4.8062,2.9488,21.951
4.7874,2.9286,21.863
4.7687,2.9085,21.775
4.7501,2.8885,21.687
4.7315,2.8687,21.6
4.713,2.8491,21.512
4.6946,2.8296,21.425
4.6763,2.8103,21.339
4.658,2.7911,21.252
4.6398,2.7721,21.166
4.6217,2.7532,21.08
4.6036,2.7345,20.995
4.5856,2.7159,20.909
4.5677,2.6975,20.824
4.5498,2.6792,20.739
4.532,2.6611,20.655
4.5143,2.6431,20.57
4.4967,2.6252,20.486
4.4791,2.6075,20.403
4.4616,2.5899,20.319
4.4442,2.5725,20.236
4.4268,2.5552,20.153
4.4095,2.5381,20.07
4.3923,2.5211,19.988
4.3751,2.5042,19.905
4.358,2.4875,19.823
4.341,2.4709,19.742
4.324,2.4544,19.66
4.3071,2.4381,19.579
4.2903,2.4219,19.498
4.2735,2.4059,19.418
4.2568,2.39,19.337
4.2402,2.3742,19.257
4.2236,2.3585,19.177
4.2071,2.343,19.097
4.1906,2.3276,19.018
4.1743,2.3123,18.939
4.1579,2.2972,18.86
4.1417,2.2821,18.781
4.1255,2.2673,18.703
4.1094,2.2525,18.624
4.0933,2.2379,18.546
4.0773,2.2233,18.469
4.0614,2.209,18.391
4.0455,2.1947,18.314
4.0297,2.1805,18.237
4.014,2.1665,18.16
3.9983,2.1526,18.084
3.9826,2.1388,18.007
3.9671,2.1252,17.931
3.9516,2.1116,17.855
3.9361,2.0982,17.78
3.9207,2.0849,17.705
3.9054,2.0717,17.629
3.8902,2.0586,17.555
3.875,2.0457,17.48
3.8598,2.0328,17.405
3.8447,2.0201,17.331
3.8297,2.0075,17.257
3.8147,1.995,17.184
3.7998,1.9826,17.11
3.785,1.9703,17.037
3.7702,1.9582,16.964
3.7554,1.9461,16.891
3.7408,1.9342,16.818
3.7262,1.9224,16.746
3.7116,1.9107,16.674
3.6971,1.899,16.602
3.6826,1.8875,16.53
3.6682,1.8761,16.458
3.6539,1.8649,16.387
