wl,n,k
0.3,2.391893595435915,2.943384250418709
0.3098549274637319,2.8104793451292798,3.079902954237602
0.31970985492746373,3.1269813670806577,3.004057686957789
0.3295647823911956,3.2968651913583984,2.9046280246901826
0.3394197098549275,3.4344547716322564,2.8726038469833197
0.3492746373186593,3.626826968461604,2.8489937670994525
0.35912956478239116,3.843571551675862,2.754394921498096
0.3689844922461231,4.0078600021983934,2.59546625421594
0.37883941970985496,4.099564433403957,2.438638910470216
0.38869434717358675,4.161667353136912,2.324484705119466
0.39854927463731865,4.241109407774388,2.237802512919111
0.4084042021010505,4.345583755829974,2.1368527620633544
0.41825912956478245,4.445295020041963,1.9978449820594053
0.4281140570285143,4.507799308347536,1.8329304786179683
0.4379689844922461,4.524739607206229,1.6714740043231415
0.44782391195597804,4.509362355097117,1.5356244661725764
0.4576788394197098,4.481955636815929,1.432257194156925
0.46753376688344167,4.459749803105162,1.3559688748283192
0.4773886943471736,4.452318064993559,1.294319927219194
0.4872436218109054,4.459912277922439,1.2334335044292868
0.4970985492746373,4.475046709559624,1.1637326222608966
0.5069534767383692,4.487569972560314,1.0832252469486388
0.516808404202101,4.490104767038408,0.996161592554368
0.5266633316658329,4.4802336412697015,0.9089105409868627
0.5365182591295647,4.459348110708476,0.826633895173269
0.5463731865932966,4.430465673935496,0.7521803435368266
0.5562281140570285,4.396665305666843,0.6864505243311462
0.5660830415207604,4.3604140371992255,0.629162579545239
0.5759379689844922,4.323453471358747,0.5794804452804625
0.5857928964482242,4.28691533666658,0.5363973677693112
0.595647823911956,4.251485499954496,0.4989302933428791
0.6055027513756878,4.217546975046149,0.4662010401296744
0.6153576788394197,4.185286134944667,0.4374588234411047
0.6252126063031516,4.154765867215341,0.4120759393826695
0.6350675337668833,4.125973962255623,0.3895331401107664
0.6449224612306153,4.098854361752786,0.3694025719019727
0.6547773886943471,4.073327010748707,0.3513316581951151
0.6646323161580789,4.049300291883259,0.3350291306186115
0.6744872436218109,4.02667868804627,0.3202534224094088
0.6843421710855427,4.005367397542516,0.3068032339690182
0.6941970985492747,3.985275013649357,0.2945099487837633
0.7040520260130065,3.9663149822932806,0.2832315662455424
0.7139069534767384,3.948406295150155,0.2728478529688463
0.7237618809404703,3.931473710943652,0.2632564626378989
0.7336168084042021,3.915447692185804,0.2543698220235349
0.7434717358679339,3.900264176825676,0.2461126223473256
0.7533266633316659,3.885864260655727,0.2384197894244014
0.7631815907953976,3.8721938382073353,0.2312348334274503
0.7730365182591294,3.859203231722588,0.2245085006887995
0.7828914457228614,3.846846826086797,0.2181976667873039
0.7927463731865932,3.835082720078511,0.2122644232398253
0.8026013006503251,3.8238723994794745,0.2066753202592103
0.812456228114057,3.813180434539818,0.2014007359144972
0.8223111555777889,3.802974202397746,0.1964143481542492
0.8321660830415207,3.793223633906171,0.1916926909326185
0.8420210105052526,3.783900983657551,0.1872147794189978
0.8518759379689844,3.774980621649435,0.182961792212555
0.8617308654327163,3.766438844883284,0.1789168008035302
0.8715857928964482,3.758253707162967,0.1750645383624182
0.8814407203601801,3.7504048654081137,0.1713912014022504
0.891295647823912,3.7428734408890674,0.1678842790297446
0.9011505752876436,3.735641893903882,0.1645324054410233
0.9110055027513756,3.728693910540527,0.1613252320756016
0.9208604302151077,3.722014300290826,0.1582533164562132
0.9307153576788394,3.715588903401846,0.155308025241243
0.9405702851425711,3.709404506962564,0.1524814494241321
0.9504252126063032,3.703448768827328,0.1497663299482475
0.960280140070035,3.697710148572304,0.1471559922806491
0.9701350675337668,3.6921778447668414,0.1446442887152827
0.9799899949974988,3.686841737918863,0.142225547364384
0.9898449224612306,3.681692338522457,0.1398945269534831
0.9996998499249624,3.6767207396975774,0.1376463766661296
1.0095547773886944,3.671918573966705,0.1354766003939438
1.0194097048524262,3.667277973762221,0.1333810248395879
1.029264632316158,3.662791535301654,0.1313557709977919
1.0391195597798901,3.658452285506544,0.1293972286051076
1.0489744872436217,3.6542536516749062,0.1275020332046423
1.0588294147073536,3.6501894336476566,0.1256670455192776
1.0686843421710854,3.646253778236373,0.1238893328671657
1.0785392696348175,3.642441155703753,0.1221661523877404
1.0883941970985493,3.638746338109421,0.1204949358760025
1.098249124562281,3.63516437935274,0.1188732760482049
1.108104052026013,3.6316905967611386,0.1172989140839171
1.1179589794897447,3.6283205540875385,0.1157697283083098
1.1278139069534767,3.62505004579384,0.1142837238948325
1.1376688344172086,3.621875082509462,0.1128390234826138
1.1475237618809406,3.618791877564587,0.1114338586152248
1.1573786893446723,3.615796834507351,0.1100665619181659
1.1672336168084039,3.612886535522798,0.1087355599417963
1.177088544272136,3.6100577306791015,0.1074393666046081
1.1869434717358678,3.607307327933434,0.1061765771789201
1.1967983991995998,3.604632383836076,0.1049458627673579
1.2066533266633317,3.602030094876916,0.10374596522403
1.2165082541270635,3.5994977894235056,0.102575692479182
1.2263631815907952,3.597032920204347,0.1014339142304206
1.2362181090545272,3.5946330572951704,0.1003195579674048
1.246073036518259,3.592295881569627,0.0992316053002723
1.2559279639819911,3.5900191785791566,0.0981690885650598
1.2657828914457228,3.5878008328297826,0.0971310876820311
1.2756378189094548,3.585638822426334,0.0961167272451914
1.2854927463731864,3.583531214057029,0.0951251738233715
1.2953476738369183,3.5814761582936283,0.094155633455143
1.3052026013006506,3.579471885184377,0.0932073493215083
1.315057528764382,3.577516700118823,0.0922795995818059
1.324912456228114,3.5756089799452573,0.0913716953596248
1.3347673836918459,3.573747169323088,0.0904829788667232
1.3446223111555777,3.571929777293822,0.0896128216540346
