wl,n,k
4.9398,3.2333,20.949
4.9205,3.2386,20.862
4.9013,3.2439,20.776
4.8821,3.2494,20.69
4.863,3.2549,20.605
4.844,3.2605,20.519
4.8251,3.2661,20.435
4.8062,3.2718,20.35
4.7874,3.2776,20.267
4.7687,3.2835,20.183
4.7501,3.2894,20.1
4.7315,3.2954,20.017
4.713,3.3015,19.935
4.6946,3.3077,19.853
4.6763,3.3139,19.771
4.658,3.3202,19.69
4.6398,3.3265,19.609
4.6217,3.333,19.528
4.6036,3.3395,19.448
4.5856,3.346,19.369
4.5677,3.3527,19.289
4.5498,3.3594,19.21
4.532,3.3661,19.132
4.5143,3.373,19.054
4.4967,3.3799,18.976
4.4791,3.3868,18.898
4.4616,3.3939,18.821
4.4442,3.401,18.745
4.4268,3.4081,18.669
4.4095,3.4154,18.593
4.3923,3.4227,18.517
4.3751,3.43,18.442
4.358,3.4374,18.367
4.341,3.4449,18.293
4.324,3.4524,18.219
4.3071,3.46,18.145
4.2903,3.4677,18.072
4.2735,3.4754,17.999
4.2568,3.4832,17.927
4.2402,3.491,17.855
4.2236,3.4989,17.783
4.2071,3.5068,17.712
4.1906,3.5148,17.641
4.1743,3.5229,17.571
4.1579,3.531,17.501
4.1417,3.5391,17.431
4.1255,3.5473,17.361
4.1094,3.5556,17.293
4.0933,3.5638,17.224
4.0773,3.5722,17.156
4.0614,3.5806,17.088
4.0455,3.589,17.021
4.0297,3.5975,16.954
4.014,3.606,16.887
3.9983,3.6145,16.821
3.9826,3.6231,16.755
3.9671,3.6317,16.69
3.9516,3.6404,16.624
3.9361,3.6491,16.56
3.9207,3.6578,16.496
3.9054,3.6666,16.432
3.8902,3.6753,16.368
3.875,3.6842,16.305
3.8598,3.693,16.242
3.8447,3.7018,16.18
3.8297,3.7107,16.118
3.8147,3.7196,16.057
3.7998,3.7285,15.996
3.785,3.7375,15.935
3.7702,3.7464,15.875
3.7554,3.7554,15.815
3.7408,3.7643,15.755
3.7262,3.7733,15.696
3.7116,3.7823,15.637
3.6971,3.7912,15.579
3.6826,3.8002,15.521
3.6682,3.8092,15.463
3.6539,3.8181,15.406
3.6396,3.8271,15.349
3.6254,3.836,15.293
3.6112,3.845,15.237
3.5971,3.8539,15.181
3.5831,3.8628,15.126
3.5691,3.8717,15.071
3.5551,3.8805,15.017
3.5412,3.8894,14.963
3.5274,3.8982,14.909
3.5136,3.9069,14.856
3.4999,3.9157,14.803
3.4862,3.9244,14.751
3.4725,3.933,14.699
3.459,3.9417,14.647
3.4455,3.9502,14.596
3.432,3.9588,14.545
3.4186,3.9672,14.494
3.4052,3.9756,14.444
3.3919,3.984,14.395
3.3787,3.9923,14.345
3.3654,4.0005,14.296
3.3523,4.0087,14.248
3.3392,4.0168,14.199
3.3261,4.0248,14.152
