wl,n,k
2.9356,4.052,10.968
2.9261,4.0509,10.937
2.9167,4.0498,10.907
2.9073,4.0486,10.877
2.898,4.0475,10.847
2.8886,4.0463,10.817
2.8793,4.0452,10.788
2.8701,4.044,10.758
2.8608,4.0428,10.729
2.8516,4.0416,10.699
2.8425,4.0403,10.67
2.8333,4.0391,10.641
2.8242,4.0378,10.612
2.8151,4.0365,10.584
2.8061,4.0352,10.555
2.797,4.0338,10.526
2.788,4.0325,10.498
2.7791,4.0311,10.47
2.7701,4.0297,10.441
2.7612,4.0283,10.413
2.7523,4.0269,10.385
2.7435,4.0254,10.358
2.7347,4.0239,10.33
2.7259,4.0224,10.302
2.7171,4.0209,10.275
2.7084,4.0194,10.248
2.6996,4.0178,10.22
2.691,4.0163,10.193
2.6823,4.0147,10.166
2.6737,4.013,10.139
2.6651,4.0114,10.113
2.6565,4.0097,10.086
2.648,4.008,10.059
2.6394,4.0063,10.033
2.6309,4.0046,10.007
2.6225,4.0028,9.9804
2.614,4.0011,9.9543
2.6056,3.9993,9.9283
2.5973,3.9974,9.9024
2.5889,3.9956,9.8767
2.5806,3.9937,9.851
2.5723,3.9918,9.8254
2.564,3.9899,9.7999
2.5557,3.988,9.7746
2.5475,3.986,9.7493
2.5393,3.9841,9.7242
2.5312,3.9821,9.6991
2.523,3.98,9.6741
2.5149,3.978,9.6493
2.5068,3.9759,9.6245
2.4987,3.9738,9.5999
2.4907,3.9717,9.5753
2.4827,3.9695,9.5509
2.4747,3.9674,9.5265
2.4668,3.9652,9.5022
2.4588,3.9629,9.4781
2.4509,3.9607,9.454
2.443,3.9584,9.43
2.4352,3.9561,9.4062
2.4273,3.9538,9.3824
2.4195,3.9515,9.3587
2.4117,3.9491,9.3351
2.404,3.9467,9.3116
2.3962,3.9443,9.2881
2.3885,3.9419,9.2648
2.3809,3.9394,9.2416
2.3732,3.937,9.2184
2.3656,3.9344,9.1954
2.3579,3.9319,9.1724
2.3504,3.9294,9.1495
2.3428,3.9268,9.1267
2.3353,3.9242,9.104
2.3278,3.9216,9.0814
2.3203,3.9189,9.0588
2.3128,3.9162,9.0364
2.3054,3.9135,9.014
2.2979,3.9108,8.9917
2.2906,3.9081,8.9695
2.2832,3.9053,8.9474
2.2758,3.9025,8.9254
2.2685,3.8997,8.9034
2.2612,3.8969,8.8815
2.2539,3.894,8.8597
2.2467,3.8911,8.838
2.2395,3.8882,8.8164
2.2323,3.8853,8.7948
2.2251,3.8824,8.7733
2.2179,3.8794,8.7519
2.2108,3.8764,8.7306
2.2037,3.8734,8.7094
2.1966,3.8703,8.6882
2.1895,3.8673,8.6671
2.1825,3.8642,8.6461
2.1755,3.8611,8.6251
2.1685,3.858,8.6042
2.1615,3.8548,8.5834
2.1545,3.8516,8.5627
2.1476,3.8484,8.542
2.1407,3.8452,8.5215
2.1338,3.842,8.5009
2.1269,3.8387,8.4805
2.1201,3.8355,8.4601
2.1133,3.8322,8.4398
2.1065,3.8288,8.4196
2.0997,3.8255,8.3994
2.093,3.8221,8.3793
2.0862,3.8187,8.3593
2.0795,3.8153,8.3393
2.0728,3.8119,8.3194
2.0661,3.8085,8.2996
2.0595,3.805,8.2798
2.0529,3.8015,8.2601
2.0463,3.798,8.2405
2.0397,3.7945,8.2209
2.0331,3.791,8.2014
2.0266,3.7874,8.182
2.0201,3.7838,8.1626
2.0136,3.7802,8.1433
2.0071,3.7766,8.1241
2.0006,3.773,8.1049
1.9942,3.7693,8.0857
1.9878,3.7656,8.0667
1.9814,3.762,8.0477
1.975,3.7582,8.0287
1.9687,3.7545,8.0099
1.9623,3.7508,7.991
1.956,3.747,7.9723
1.9497,3.7432,7.9536
1.9435,3.7394,7.9349
1.9372,3.7356,7.9163
1.931,3.7318,7.8978
1.9248,3.728,7.8793
1.9186,3.7241,7.8609
1.9124,3.7202,7.8426
1.9062,3.7163,7.8242
1.9001,3.7124,7.806
1.894,3.7085,7.7878
1.8879,3.7046,7.7697
1.8818,3.7006,7.7516
1.8758,3.6966,7.7336
1.8697,3.6927,7.7156
1.8637,3.6887,7.6977
1.8577,3.6847,7.6798
1.8518,3.6806,7.662
1.8458,3.6766,7.6443
1.8399,3.6725,7.6266
1.8339,3.6685,7.6089
1.828,3.6644,7.5913
1.8222,3.6603,7.5738
1.8163,3.6562,7.5563
1.8105,3.6521,7.5388
1.8046,3.6479,7.5214
1.7988,3.6438,7.5041
1.793,3.6396,7.4868
1.7873,3.6354,7.4695
1.7815,3.6313,7.4524
1.7758,3.6271,7.4352
1.7701,3.6229,7.4181
1.7644,3.6186,7.4011
1.7587,3.6144,7.3841
1.7531,3.6102,7.3671
1.7474,3.6059,7.3502
1.7418,3.6017,7.3334
1.7362,3.5974,7.3166
1.7306,3.5931,7.2998
1.725,3.5888,7.2831
1.7195,3.5845,7.2665
1.714,3.5802,7.2499
1.7084,3.5759,7.2333
1.7029,3.5716,7.2168
1.6975,3.5672,7.2003
1.692,3.5629,7.1839
1.6866,3.5585,7.1675
1.6811,3.5541,7.1512
1.6757,3.5498,7.1349
1.6703,3.5454,7.1186
1.665,3.541,7.1024
1.6596,3.5366,7.0863
1.6543,3.5322,7.0702
1.649,3.5278,7.0541
1.6436,3.5234,7.0381
1.6384,3.5189,7.0221
1.6331,3.5145,7.0062
1.6278,3.51,6.9903
1.6226,3.5056,6.9745
1.6174,3.5011,6.9587
1.6122,3.4967,6.9429
1.607,3.4922,6.9272
1.6018,3.4877,6.9115
1.5967,3.4832,6.8959
