wl,n,k
4.065,8.094,7.105
4.0323,8.059,7.074
4.0,8.022,7.052
3.9683,7.988,7.023
3.937,7.954,6.994
3.9063,7.928,6.972
3.876,7.902,6.949
3.8462,7.874,6.927
3.8168,7.849,6.904
3.7879,7.817,6.889
3.7594,7.787,6.867
3.7313,7.757,6.851
3.7037,7.731,6.83
3.6765,7.7,6.809
3.6496,7.671,6.787
3.6232,7.644,6.766
3.5971,7.618,6.744
3.5714,7.593,6.724
3.5461,7.571,6.707
3.5211,7.547,6.693
3.4965,7.52,6.672
3.4722,7.492,6.652
3.4483,7.467,6.636
3.4247,7.441,6.622
3.4014,7.416,6.601
3.3784,7.396,6.587
3.3557,7.369,6.566
3.3333,7.349,6.547
3.3113,7.325,6.533
3.2895,7.3,6.517
3.268,7.277,6.503
3.2468,7.254,6.485
3.2258,7.228,6.47
3.2051,7.206,6.456
3.1847,7.184,6.442
3.1646,7.161,6.422
3.1447,7.139,6.408
3.125,7.113,6.39
3.1056,7.094,6.37
3.0864,7.074,6.356
3.0675,7.052,6.343
3.0488,7.033,6.325
3.0303,7.012,6.31
3.012,6.992,6.296
2.994,6.974,6.278
2.9762,6.956,6.269
2.9586,6.933,6.256
2.9412,6.913,6.243
2.924,6.894,6.23
2.907,6.876,6.21
2.8902,6.86,6.197
2.8736,6.837,6.184
2.8571,6.818,6.171
2.8409,6.796,6.158
2.8249,6.781,6.141
2.809,6.762,6.128
2.7933,6.742,6.115
2.7778,6.728,6.098
2.7624,6.711,6.089
2.7473,6.691,6.072
2.7322,6.676,6.059
2.7174,6.659,6.047
2.7027,6.642,6.034
2.6882,6.623,6.021
2.6738,6.607,6.003
2.6596,6.595,5.992
2.6455,6.578,5.979
2.6316,6.564,5.967
2.6178,6.549,5.949
2.6042,6.539,5.936
2.5907,6.525,5.919
2.5773,6.514,5.906
2.5641,6.504,5.889
2.551,6.497,5.877
2.5381,6.494,5.863
2.5253,6.491,5.851
2.5126,6.49,5.842
2.5,6.503,5.831
2.48,6.486,5.901
2.46,6.432,5.883
2.44,6.394,5.877
2.42,6.351,5.873
2.4,6.32,5.838
2.38,6.286,5.807
2.36,6.279,5.804
2.34,6.247,5.79
2.32,6.216,5.77
2.3,6.194,5.752
2.28,6.185,5.732
2.26,6.152,5.742
2.24,6.135,5.715
2.22,6.101,5.707
2.2,6.082,5.711
2.18,6.041,5.698
2.16,6.015,5.683
2.14,5.992,5.68
2.12,5.947,5.678
2.1,5.909,5.659
2.08,5.87,5.637
2.06,5.845,5.626
2.04,5.819,5.609
2.02,5.8,5.593
2.0,5.769,5.61
1.98,5.721,5.622
1.96,5.67,5.611
1.94,5.61,5.594
1.92,5.546,5.592
1.9,5.494,5.568
1.88,5.423,5.491
1.86,5.431,5.467
1.84,5.369,5.455
1.82,5.338,5.412
1.8,5.305,5.37
1.78,5.281,5.359
1.76,5.263,5.334
1.74,5.215,5.325
1.72,5.193,5.29
1.7,5.149,5.28
1.68,5.121,5.256
1.66,5.088,5.233
1.64,5.047,5.214
1.62,5.012,5.206
1.6,4.975,5.171
1.58,4.934,5.155
1.56,4.899,5.139
1.54,4.851,5.112
1.52,4.824,5.096
1.5,4.78,5.08
1.48,4.736,5.06
1.46,4.7,5.037
1.44,4.646,5.006
1.42,4.617,4.993
1.4,4.563,4.962
1.38,4.537,4.941
1.36,4.493,4.933
1.34,4.436,4.911
1.32,4.399,4.882
1.3,4.35,4.867
1.28,4.296,4.858
1.26,4.243,4.826
1.24,4.194,4.801
1.22,4.14,4.773
1.2,4.098,4.751
1.18,4.032,4.741
1.16,3.965,4.709
1.14,3.908,4.673
1.12,3.858,4.649
1.1,3.793,4.624
1.08,3.722,4.592
1.06,3.657,4.55
1.04,3.587,4.506
1.02,3.521,4.457
1.0,3.48,4.412
0.98,3.409,4.382
0.96,3.342,4.323
0.94,3.287,4.265
0.92,3.23,4.225
0.9,3.177,4.161
0.88,3.14,4.103
0.86,3.103,4.066
0.84,3.053,4.052
0.82,2.985,4.011
0.8,2.916,3.987
0.78,2.835,3.932
0.76,2.765,3.876
0.74,2.702,3.819
0.72,2.638,3.764
0.7,2.575,3.71
0.68,2.513,3.654
0.66,2.45,3.606
0.64,2.377,3.561
0.62,2.296,3.501
0.6,2.223,3.442
0.58,2.138,3.38
0.56,2.065,3.303
0.54,1.988,3.239
0.52,1.905,3.17
0.5,1.816,3.093
0.48,1.732,3.012
0.46,1.639,2.926
0.44,1.549,2.827
0.42,1.46,2.724
0.4,1.37,2.612
0.38,1.287,2.484
0.36,1.215,2.351
0.34,1.148,2.219
0.32,1.086,2.072
0.3,1.048,1.921
0.28,1.02,1.783
0.26,1.001,1.652
0.24,0.983,1.531
0.22,0.957,1.421
